sku_id,sku_name,category,unit_cost_usd,lead_time_days,supplier_id,unit_weight_lbs,shelf_life_days,reorder_point,min_order_qty,segment,active
SKU001,Heavy Duty Valve XL,Packaging,564.94,33.0,SUP022,160.54,730.0,365,25,STANDARD,Y
sku_002,Standard Pump V2,Cold Chain,1426.32,39.0,SUP004,21.13,365.0,290,50,STANDARD,YES
Sku-003,Heavy Duty Unit Type-B,Pharma Consumables,1099.33,32.0,SUP016,40.49,180.0,277,50,STANDARD,Y
SKU 004,Pro-Grade Kit Type-A,Raw Materials,899.99,26.0,SUP023,224.65,365.0,373,100,STANDARD,Y
SKU-005,Heavy Duty Bearing V3,Pharma Consumables,238.25,41.0,SUP030,151.65,730.0,66,10,STANDARD,Y
SKU006,Standard Unit Type-A,Pharma Consumables,238.21,10.0,SUP015,2.4,90.0,88,50,PREMIUM,Y
sku_007,Pro-Grade Pump Plus,Finished Goods,91.84,13.0,SUP003,25.46,,372,100,STANDARD,Y
Sku-008,Standard Assembly XL,Electronics,1299.93,9.0,SUP029,165.91,,221,5,STANDARD,Y
SKU 009,Heavy Duty Filter Plus,Packaging,903.67,22.0,SUP003,1.36,180.0,346,10,STANDARD,1
SKU-010,Premium Sensor V2,Industrial Equipment,1063.57,27.0,SUP011,40.29,365.0,401,50,PREMIUM,Y
SKU011,Standard Module Type-B,Industrial Equipment,35.77,15.0,SUP020,137.23,,191,1,BUDGET,Y
sku_012,Heavy Duty Kit Type-B,MRO,1455.02,,SUP005,173.0,,23,5,STANDARD,Y
Sku-013,Premium Module XL,Industrial Equipment,1249.5,43.0,SUP003,163.03,,181,5,STANDARD,1
SKU 014,Heavy Duty Assembly Type-B,Packaging,322.45,22.0,SUP005,56.14,90.0,104,100,STANDARD,Y
SKU-015,Economy Bearing XL,MRO,276.83,41.0,SUP009,178.07,,400,5,STANDARD,Y
SKU016,Pro-Grade Module V3,MRO,279.19,39.0,SUP020,59.39,,449,10,PREMIUM,Y
sku_017,Heavy Duty Valve V3,Raw Materials,459.84,25.0,SUP021,81.42,90.0,237,50,STANDARD,Y
Sku-018,Premium Bearing V3,Electronics,789.51,45.0,SUP019,186.65,90.0,407,50,STANDARD,Y
SKU 019,Heavy Duty Kit XL,Cold Chain,650.76,35.0,SUP018,162.44,90.0,80,1,STANDARD,y
SKU-020,Economy Module V2,Raw Materials,440.39,3.0,SUP023,212.32,,269,100,STANDARD,Y
SKU021,Premium Module V3,Electronics,919.72,34.0,SUP011,164.44,,459,1,PREMIUM,Y
sku_022,Premium Bearing V2,Electronics,213.54,,SUP013,142.12,180.0,288,5,STANDARD,Y
Sku-023,Pro-Grade Pump V2,Electronics,441.76,43.0,SUP020,23.51,730.0,210,1,STANDARD,Y
SKU 024,Economy Kit XL,Pharma Consumables,552.71,32.0,SUP017,91.99,180.0,227,10,STANDARD,Y
SKU-025,Pro-Grade Pump Mini,Raw Materials,686.82,30.0,SUP010,66.37,,388,50,STANDARD,Y
SKU026,Heavy Duty Pump Type-A,Cold Chain,1178.84,36.0,SUP015,61.07,,56,5,STANDARD,N
sku_027,Premium Kit XL,Finished Goods,303.51,20.0,SUP017,243.26,180.0,343,1,BUDGET,Y
Sku-028,Heavy Duty Pump Mini,Electronics,773.78,37.0,SUP020,98.34,365.0,371,100,STANDARD,Y
SKU 029,Standard Assembly Plus,Cold Chain,890.66,32.0,SUP014,223.02,730.0,148,10,STANDARD,Y
SKU-030,Economy Filter XL,Finished Goods,74.44,40.0,SUP004,157.82,,377,10,PREMIUM,Y
SKU031,Standard Pump XL,Packaging,913.28,18.0,SUP026,198.72,365.0,73,1,PREMIUM,Y
sku_032,Pro-Grade Kit Plus,Finished Goods,259.93,8.0,SUP023,125.71,365.0,103,50,STANDARD,Y
Sku-033,Premium Pump V2,Packaging,102.25,31.0,SUP004,144.27,730.0,400,1,PREMIUM,Y
SKU 034,Pro-Grade Assembly Type-B,Industrial Equipment,1423.58,32.0,SUP028,123.18,90.0,29,5,PREMIUM,y
SKU-035,Heavy Duty Bearing V2,Finished Goods,1448.62,45.0,SUP021,48.89,,440,1,STANDARD,YES
SKU036,Standard Kit Type-B,Packaging,1213.55,4.0,SUP021,180.64,180.0,383,10,PREMIUM,Y
sku_037,Economy Kit,Electronics,460.4,23.0,SUP029,70.27,730.0,473,1,BUDGET,Y
Sku-038,Pro-Grade Sensor Type-A,Pharma Consumables,151.02,16.0,SUP025,6.18,,488,50,PREMIUM,Y
SKU 039,Heavy Duty Unit XL,Finished Goods,1027.93,19.0,SUP018,161.4,180.0,57,100,STANDARD,Y
SKU-040,Premium Bearing XL,MRO,663.03,41.0,SUP024,44.36,,155,25,STANDARD,Y
SKU041,Economy Filter,Packaging,187.45,20.0,SUP028,235.12,180.0,148,1,BUDGET,Y
sku_042,Heavy Duty Sensor V2,Raw Materials,745.29,36.0,SUP007,238.49,,61,50,PREMIUM,Y
Sku-043,Pro-Grade Bearing XL,Packaging,56.41,8.0,SUP014,228.72,90.0,43,50,STANDARD,Y
SKU 044,Pro-Grade Pack V3,Finished Goods,1364.43,29.0,SUP015,92.6,365.0,113,100,BUDGET,Y
SKU-045,Standard Module V2,Packaging,391.88,18.0,SUP029,3.96,180.0,185,10,BUDGET,Y
SKU046,Pro-Grade Unit Type-A,Cold Chain,995.47,44.0,SUP008,232.09,365.0,46,50,BUDGET,Y
sku_047,Pro-Grade Module,Raw Materials,471.01,31.0,SUP014,107.1,180.0,190,50,STANDARD,Y
Sku-048,Heavy Duty Bearing Mini,Finished Goods,782.5,8.0,SUP011,241.67,730.0,427,50,PREMIUM,Y
SKU 049,Premium Pump Type-A,Pharma Consumables,822.33,28.0,SUP027,240.91,730.0,402,50,STANDARD,Y
SKU-050,Standard Pack Type-B,Cold Chain,281.36,22.0,SUP015,213.27,180.0,227,5,BUDGET,N
SKU051,Heavy Duty Assembly Type-B,Raw Materials,1454.53,26.0,SUP013,73.68,90.0,126,5,STANDARD,Y
sku_052,Pro-Grade Filter V2,MRO,1163.82,36.0,SUP014,96.34,,137,10,STANDARD,Y
Sku-053,Economy Unit V2,Packaging,1409.55,38.0,SUP024,212.8,180.0,167,1,STANDARD,Y
SKU 054,Premium Unit Plus,Packaging,1342.77,32.0,SUP004,79.3,,219,50,STANDARD,Y
SKU-055,Standard Unit V3,Industrial Equipment,898.86,19.0,SUP011,42.46,90.0,225,100,PREMIUM,Y
SKU056,Premium Kit Mini,Raw Materials,1383.2,15.0,SUP014,139.24,,239,1,STANDARD,Y
sku_057,Economy Unit,Packaging,137.3,37.0,SUP011,234.05,365.0,335,100,STANDARD,y
Sku-058,Heavy Duty Pump V3,Industrial Equipment,297.99,14.0,SUP022,174.04,180.0,150,1,STANDARD,y
SKU 059,Heavy Duty Module Type-A,Industrial Equipment,72.61,33.0,SUP009,142.56,730.0,243,10,STANDARD,Y
SKU-060,Pro-Grade Unit V3,Finished Goods,491.37,40.0,SUP012,24.38,90.0,80,50,PREMIUM,Y
SKU061,Pro-Grade Pump Type-A,Packaging,586.07,36.0,SUP005,153.79,,13,50,STANDARD,Y
sku_062,Heavy Duty Valve V3,Cold Chain,410.67,9.0,SUP022,247.51,180.0,78,25,STANDARD,Y
Sku-063,Heavy Duty Valve Mini,MRO,1243.96,21.0,SUP030,35.11,,446,100,STANDARD,y
SKU 064,Heavy Duty Unit V3,Cold Chain,538.35,14.0,SUP016,129.63,,496,1,PREMIUM,Y
SKU-065,Premium Assembly V3,Cold Chain,425.0,37.0,SUP003,219.36,180.0,405,1,STANDARD,Y
SKU066,Pro-Grade Filter,Packaging,816.33,,SUP003,185.22,365.0,257,5,STANDARD,Y
sku_067,Standard Assembly Plus,Electronics,215.68,,SUP027,174.28,180.0,234,25,PREMIUM,Y
Sku-068,Standard Bearing Type-B,Pharma Consumables,1204.28,,SUP003,175.65,365.0,11,5,STANDARD,Y
SKU 069,Economy Module Plus,Industrial Equipment,116.45,11.0,SUP003,89.94,,178,5,PREMIUM,Y
SKU-070,Economy Assembly Type-A,Packaging,1480.4,34.0,SUP014,73.47,180.0,145,5,PREMIUM,Y
SKU071,Heavy Duty Valve Plus,Finished Goods,1159.51,,SUP004,202.36,90.0,172,100,BUDGET,y
sku_072,Premium Bearing V3,Industrial Equipment,302.08,,SUP024,202.55,730.0,174,100,STANDARD,N
Sku-073,Standard Pump,MRO,13.26,33.0,SUP024,216.78,90.0,397,10,BUDGET,Y
SKU 074,Standard Kit V2,Electronics,1224.11,14.0,SUP012,228.32,,438,10,STANDARD,Y
SKU-075,Premium Assembly V3,Pharma Consumables,1061.75,19.0,SUP026,127.88,90.0,287,5,STANDARD,Y
SKU076,Heavy Duty Assembly Type-B,Packaging,1094.87,33.0,SUP005,125.43,,126,25,STANDARD,Y
sku_077,Heavy Duty Unit Type-A,MRO,1158.05,,SUP018,199.59,,198,1,STANDARD,Y
Sku-078,Heavy Duty Pump V2,Raw Materials,115.7,,SUP002,162.53,365.0,9,100,STANDARD,Y
SKU 079,Economy Assembly,Electronics,540.91,39.0,SUP019,175.52,730.0,33,25,STANDARD,Y
SKU-080,Standard Kit Type-A,Cold Chain,178.22,6.0,SUP018,198.97,,169,50,STANDARD,Y
SKU081,Standard Kit Type-A,Electronics,1295.34,39.0,SUP018,222.51,365.0,426,100,BUDGET,Y
sku_082,Economy Sensor,MRO,936.83,8.0,SUP011,84.56,365.0,343,100,BUDGET,Y
Sku-083,Premium Kit,Packaging,499.69,10.0,SUP022,93.96,,140,10,BUDGET,YES
SKU 084,Standard Pump XL,Electronics,100.02,29.0,SUP004,23.59,90.0,369,1,PREMIUM,N
SKU-085,Standard Valve Type-A,Packaging,469.92,42.0,SUP014,144.61,90.0,325,1,STANDARD,Y
SKU086,Premium Valve Type-A,Finished Goods,491.15,36.0,SUP012,9.08,730.0,346,50,BUDGET,y
sku_087,Pro-Grade Assembly V2,Packaging,1095.76,31.0,SUP028,116.45,730.0,149,50,PREMIUM,Y
Sku-088,Heavy Duty Unit Type-B,MRO,958.15,40.0,SUP022,135.71,,331,100,PREMIUM,y
SKU 089,Standard Bearing Type-B,Pharma Consumables,1331.38,22.0,SUP025,71.71,,221,5,STANDARD,N
SKU-090,Standard Kit Type-B,Finished Goods,710.96,6.0,SUP014,147.75,,305,10,STANDARD,Y
SKU091,Pro-Grade Pump Type-A,Pharma Consumables,183.79,9.0,SUP028,7.72,,136,10,BUDGET,Y
sku_092,Pro-Grade Bearing Plus,Electronics,1071.3,16.0,SUP030,9.43,90.0,296,100,PREMIUM,Y
Sku-093,Pro-Grade Pack Mini,Cold Chain,1142.37,19.0,SUP024,205.67,,74,25,STANDARD,Y
SKU 094,Premium Pump Mini,Raw Materials,844.11,13.0,SUP002,90.11,,256,5,STANDARD,Y
SKU-095,Standard Sensor Plus,MRO,1157.6,38.0,SUP010,31.85,365.0,419,100,PREMIUM,Y
SKU096,Standard Sensor,Pharma Consumables,743.22,,SUP020,130.61,,279,5,PREMIUM,Y
sku_097,Premium Bearing Type-A,Raw Materials,786.49,,SUP010,192.52,730.0,449,5,BUDGET,y
Sku-098,Economy Pack Type-B,Industrial Equipment,644.17,41.0,SUP012,54.03,,368,5,STANDARD,1
SKU 099,Heavy Duty Unit V3,Packaging,43.0,5.0,SUP004,155.76,,186,100,STANDARD,Y
SKU-100,Pro-Grade Sensor V2,Pharma Consumables,166.3,21.0,SUP019,21.43,730.0,171,10,STANDARD,Y
SKU101,Premium Bearing V3,Finished Goods,51.99,32.0,SUP017,13.02,180.0,95,10,BUDGET,Y
sku_102,Premium Sensor V2,MRO,956.43,,SUP007,132.89,180.0,206,5,STANDARD,Y
Sku-103,Economy Unit XL,Packaging,474.96,19.0,SUP005,135.2,365.0,350,25,BUDGET,YES
SKU 104,Pro-Grade Unit Type-A,Raw Materials,765.31,43.0,SUP022,159.39,365.0,23,1,STANDARD,Y
SKU-105,Pro-Grade Sensor Type-B,MRO,1361.81,15.0,SUP016,181.55,180.0,43,100,STANDARD,Y
SKU106,Standard Sensor Type-B,Pharma Consumables,377.69,37.0,SUP008,243.97,730.0,130,1,STANDARD,Y
sku_107,Heavy Duty Unit V2,Cold Chain,618.52,12.0,SUP028,129.12,365.0,455,25,STANDARD,Y
Sku-108,Premium Sensor V3,Finished Goods,1134.55,12.0,SUP004,80.81,730.0,177,100,STANDARD,Y
SKU 109,Premium Pump XL,Industrial Equipment,347.05,,SUP012,198.82,730.0,145,5,STANDARD,N
SKU-110,Pro-Grade Assembly XL,MRO,120.08,22.0,SUP028,67.78,365.0,246,10,STANDARD,Y
SKU111,Heavy Duty Bearing Plus,Cold Chain,438.18,39.0,SUP018,109.8,90.0,224,1,BUDGET,Y
sku_112,Premium Valve Type-A,Pharma Consumables,246.03,31.0,SUP012,19.71,730.0,130,50,STANDARD,Y
Sku-113,Premium Filter XL,Finished Goods,1394.9,,SUP004,6.44,90.0,62,50,STANDARD,YES
SKU 114,Standard Assembly Plus,Packaging,1213.14,28.0,SUP025,240.67,,152,25,BUDGET,y
SKU-115,Pro-Grade Valve Type-B,Raw Materials,951.94,35.0,SUP009,209.01,180.0,480,5,STANDARD,Y
SKU116,Heavy Duty Filter Type-A,Pharma Consumables,1307.83,31.0,SUP019,174.02,,460,1,PREMIUM,Y
sku_117,Premium Pack V2,Electronics,1206.49,,SUP008,102.3,180.0,321,5,BUDGET,Y
Sku-118,Economy Filter Type-A,Industrial Equipment,283.92,,SUP026,43.41,180.0,387,1,STANDARD,Y
SKU 119,Premium Module Type-A,Industrial Equipment,1339.38,23.0,SUP014,39.19,730.0,365,25,STANDARD,YES
SKU-120,Premium Pump V3,Packaging,811.32,4.0,SUP028,62.64,90.0,427,25,PREMIUM,Y
SKU121,Heavy Duty Module Plus,Finished Goods,1212.12,,SUP018,137.35,90.0,5,50,STANDARD,Y
sku_122,Pro-Grade Filter V3,Pharma Consumables,1344.66,39.0,SUP025,178.68,365.0,391,5,STANDARD,Y
Sku-123,Standard Filter Plus,Pharma Consumables,480.42,4.0,SUP027,165.08,,465,100,STANDARD,Y
SKU 124,Heavy Duty Filter Mini,Cold Chain,169.53,20.0,SUP020,70.06,90.0,352,50,BUDGET,Y
SKU-125,Economy Pump XL,Electronics,345.76,14.0,SUP020,238.72,365.0,194,5,STANDARD,Y
SKU126,Standard Bearing Plus,Raw Materials,643.53,44.0,SUP022,184.5,,195,50,PREMIUM,Y
sku_127,Heavy Duty Assembly V3,Finished Goods,1227.93,20.0,SUP021,138.63,90.0,373,100,STANDARD,Y
Sku-128,Standard Assembly Mini,MRO,1291.79,40.0,SUP018,152.97,180.0,413,10,STANDARD,Y
SKU 129,Premium Pump V3,Raw Materials,15.39,34.0,SUP001,104.96,180.0,316,10,STANDARD,Y
SKU-130,Heavy Duty Pump Plus,Electronics,768.57,33.0,SUP020,62.01,,421,10,PREMIUM,Y
SKU131,Premium Sensor Type-B,Raw Materials,629.03,24.0,SUP030,89.06,,426,10,STANDARD,Y
sku_132,Premium Module Plus,Pharma Consumables,337.05,9.0,SUP022,189.49,90.0,121,1,STANDARD,Y
Sku-133,Pro-Grade Module Type-A,Finished Goods,184.2,24.0,SUP027,3.7,90.0,138,10,BUDGET,Y
SKU 134,Heavy Duty Sensor V2,Raw Materials,509.73,34.0,SUP023,29.11,,62,100,STANDARD,Y
SKU-135,Pro-Grade Sensor Type-A,Packaging,1414.65,28.0,SUP009,11.6,730.0,48,25,BUDGET,Y
SKU136,Heavy Duty Pack Plus,Industrial Equipment,488.19,38.0,SUP001,10.28,,177,25,PREMIUM,Y
sku_137,Premium Module Plus,MRO,780.59,,SUP006,213.88,365.0,164,1,BUDGET,YES
Sku-138,Pro-Grade Unit Type-B,Cold Chain,1056.01,,SUP009,175.94,365.0,177,10,PREMIUM,Y
SKU 139,Economy Pack V3,Finished Goods,548.63,10.0,SUP023,118.6,365.0,321,10,STANDARD,Y
SKU-140,Premium Valve Plus,Finished Goods,1457.81,28.0,SUP025,24.55,180.0,307,10,STANDARD,Y
SKU141,Heavy Duty Unit V3,Cold Chain,1443.86,3.0,SUP010,122.95,180.0,153,50,PREMIUM,Y
sku_142,Premium Kit Type-B,MRO,381.41,37.0,SUP030,118.42,365.0,84,5,STANDARD,Y
Sku-143,Premium Pack Mini,Pharma Consumables,748.39,6.0,SUP011,43.38,365.0,378,50,STANDARD,Y
SKU 144,Heavy Duty Sensor XL,MRO,454.81,26.0,SUP012,108.52,730.0,217,5,STANDARD,Y
SKU-145,Economy Module Plus,MRO,430.84,34.0,SUP001,99.69,,207,10,STANDARD,Y
SKU146,Premium Unit V2,Industrial Equipment,60.15,6.0,SUP006,154.0,180.0,256,10,STANDARD,Y
sku_147,Standard Kit Plus,Raw Materials,916.3,38.0,SUP028,158.81,365.0,233,50,STANDARD,N
Sku-148,Standard Pack XL,Packaging,756.51,,SUP005,11.42,730.0,168,50,STANDARD,Y
SKU 149,Economy Unit Type-A,Cold Chain,81.96,34.0,SUP019,93.72,,231,5,STANDARD,Y
SKU-150,Premium Sensor V3,Pharma Consumables,421.58,,SUP022,156.5,90.0,151,25,PREMIUM,Y
SKU151,Economy Pack Mini,Finished Goods,1362.86,41.0,SUP013,125.83,365.0,24,5,BUDGET,Y
sku_152,Economy Assembly,Pharma Consumables,363.15,13.0,SUP003,214.14,180.0,445,50,STANDARD,Y
Sku-153,Standard Unit,Cold Chain,221.62,3.0,SUP005,164.71,365.0,406,100,STANDARD,Y
SKU 154,Standard Bearing XL,Industrial Equipment,736.73,8.0,SUP024,40.82,,51,50,STANDARD,Y
SKU-155,Pro-Grade Pack Mini,Industrial Equipment,1478.55,10.0,SUP021,17.74,,237,100,BUDGET,N
SKU156,Heavy Duty Pump XL,MRO,366.87,10.0,SUP001,160.64,180.0,309,1,PREMIUM,N
sku_157,Standard Pump V2,Cold Chain,1009.84,12.0,SUP003,6.73,,18,50,STANDARD,Y
Sku-158,Heavy Duty Valve V3,Electronics,1143.62,21.0,SUP024,146.49,90.0,147,1,STANDARD,Y
SKU 159,Economy Pack Type-B,Cold Chain,360.27,20.0,SUP017,235.06,730.0,419,25,STANDARD,Y
SKU-160,Economy Kit V3,Pharma Consumables,1093.68,33.0,SUP007,143.91,,5,5,PREMIUM,Y
SKU161,Economy Assembly Plus,Cold Chain,554.84,18.0,SUP013,97.1,365.0,377,100,BUDGET,Y
sku_162,Standard Filter Type-A,Cold Chain,950.3,12.0,SUP014,160.86,730.0,58,5,BUDGET,YES
Sku-163,Heavy Duty Kit V3,Cold Chain,952.13,41.0,SUP015,114.62,,378,1,STANDARD,Y
SKU 164,Standard Unit,MRO,805.98,11.0,SUP011,136.45,,263,100,STANDARD,1
SKU-165,Heavy Duty Unit V3,Electronics,139.98,20.0,SUP006,235.37,,148,5,BUDGET,Y
SKU166,Heavy Duty Assembly V2,Industrial Equipment,1253.78,29.0,SUP012,96.59,730.0,475,50,STANDARD,Y
sku_167,Economy Unit Mini,Packaging,484.57,35.0,SUP010,240.3,180.0,445,10,PREMIUM,Y
Sku-168,Economy Pack Plus,Electronics,283.85,3.0,SUP024,226.35,180.0,463,1,STANDARD,y
SKU 169,Pro-Grade Assembly V2,Electronics,65.96,22.0,SUP011,49.03,365.0,16,5,STANDARD,Y
SKU-170,Economy Assembly XL,Packaging,888.38,40.0,SUP025,17.43,365.0,334,1,STANDARD,N
SKU171,Standard Sensor,Electronics,1017.96,34.0,SUP019,25.28,365.0,228,1,STANDARD,Y
sku_172,Standard Sensor,Pharma Consumables,29.8,31.0,SUP020,4.65,,276,100,BUDGET,Y
Sku-173,Heavy Duty Sensor V3,Industrial Equipment,770.58,25.0,SUP003,23.7,90.0,460,100,BUDGET,y
SKU 174,Premium Module Mini,Electronics,343.61,37.0,SUP029,170.78,90.0,362,10,STANDARD,Y
SKU-175,Pro-Grade Bearing V2,Industrial Equipment,969.53,23.0,SUP002,17.89,90.0,464,50,PREMIUM,Y
SKU176,Standard Pump Plus,MRO,265.68,18.0,SUP005,79.81,180.0,412,1,BUDGET,Y
sku_177,Standard Pump Type-B,Cold Chain,1037.95,17.0,SUP006,211.23,180.0,160,5,BUDGET,1
Sku-178,Economy Kit Mini,MRO,583.17,29.0,SUP025,5.92,90.0,377,25,PREMIUM,YES
SKU 179,Pro-Grade Assembly Plus,Industrial Equipment,1405.41,,SUP020,203.64,730.0,12,1,BUDGET,Y
SKU-180,Heavy Duty Pump Plus,Electronics,210.59,27.0,SUP002,70.54,365.0,126,1,BUDGET,Y
SKU181,Economy Pack Type-A,Packaging,514.89,45.0,SUP022,29.63,,352,10,STANDARD,YES
sku_182,Pro-Grade Kit,Industrial Equipment,174.64,44.0,SUP003,174.21,730.0,168,50,STANDARD,Y
Sku-183,Heavy Duty Module XL,Electronics,1387.42,34.0,SUP009,157.27,730.0,94,25,STANDARD,Y
SKU 184,Economy Kit V3,Raw Materials,1316.62,11.0,SUP015,219.38,90.0,140,100,PREMIUM,YES
SKU-185,Economy Pump XL,Pharma Consumables,390.62,40.0,SUP022,183.79,,190,100,STANDARD,Y
SKU186,Economy Assembly Type-A,Pharma Consumables,991.68,9.0,SUP014,200.89,90.0,320,5,BUDGET,Y
sku_187,Economy Module Plus,Finished Goods,1226.75,31.0,SUP016,70.58,,182,25,PREMIUM,Y
Sku-188,Standard Assembly V2,Finished Goods,835.03,,SUP020,44.44,365.0,32,100,STANDARD,YES
SKU 189,Pro-Grade Unit Type-A,MRO,796.83,3.0,SUP015,187.68,730.0,224,5,STANDARD,1
SKU-190,Economy Pack Type-A,Pharma Consumables,366.57,29.0,SUP014,201.73,180.0,361,50,STANDARD,YES
SKU191,Heavy Duty Kit V2,Finished Goods,144.19,12.0,SUP009,247.63,90.0,45,5,BUDGET,Y
sku_192,Economy Filter Type-A,Cold Chain,1346.34,,SUP007,103.21,90.0,232,100,STANDARD,y
Sku-193,Premium Kit Mini,Industrial Equipment,1351.12,19.0,SUP025,93.07,730.0,196,10,STANDARD,y
SKU 194,Standard Assembly Mini,Packaging,951.49,28.0,SUP017,194.13,730.0,415,10,STANDARD,Y
SKU-195,Premium Kit XL,Finished Goods,511.85,24.0,SUP004,85.27,365.0,451,10,STANDARD,N
SKU196,Economy Sensor Type-B,Industrial Equipment,527.07,37.0,SUP012,232.7,,149,100,STANDARD,Y
sku_197,Economy Valve Type-A,Industrial Equipment,1090.3,23.0,SUP014,214.62,90.0,205,10,STANDARD,Y
Sku-198,Premium Pump Type-B,Finished Goods,1346.18,34.0,SUP004,107.31,,421,25,PREMIUM,Y
SKU 199,Heavy Duty Valve V3,Raw Materials,1331.19,5.0,SUP010,187.74,365.0,216,50,PREMIUM,Y
SKU-200,Standard Valve V2,Raw Materials,1170.91,18.0,SUP022,188.66,730.0,465,5,STANDARD,Y
